,nose_x,nose_y,nose_z,r_ear_x,r_ear_y,r_ear_z,theta_l,theta_r,l_ear_x,l_ear_y,l_ear_z,pitched_down
749,326.4564910187643,362.13616508243507,181.2089725386514,340.4690660468012,291.03764904472604,237.06922477722188,4.376353797505653,1.5813187044011807,287.8322590839495,293.00321566043334,226.9145388796998,0.0
750,326.8914276760349,362.5857208030387,182.0404732084315,340.7904855901955,291.15999063411124,237.75064367271625,4.37275088216491,1.6000640391332754,288.0396754684002,293.32692239047174,227.33906413877946,0.0
751,327.2801816313468,363.0452808088836,182.86585612365545,341.07477070700656,291.33515220342014,238.39971020587194,4.370596310846769,1.6192993523617574,288.2481299529807,293.65949542080625,227.76167010576663,0.0
752,327.60349704883896,363.5423851476244,183.73263105045703,341.31702425859237,291.52444993110913,239.03145609800316,4.369742245751245,1.639889000081471,288.4271091010665,293.9997014471226,228.19251934068146,0.0
753,327.8869762492491,364.0709841102669,184.58366037055046,341.5309398991983,291.7545436386059,239.61377421238197,4.370257410334365,1.6617058342946445,288.60500961042305,294.34769067072835,228.6255482057532,0.0
754,328.1529467284393,364.59082853016344,185.41663877748292,341.7483918725465,291.99435361941664,240.1922198596196,4.3723482868449866,1.6843205351703718,288.7672621335493,294.69696796563665,229.1183663719051,0.0
755,328.3745146753983,365.1207547968932,186.21910358756023,341.9563311788831,292.24095146886896,240.72362301458125,4.376310276369349,1.7074276262724577,288.93448302950287,295.0439803827001,229.60372905953488,0.0
756,328.52612456390466,365.6750216396075,187.02252188206452,342.1594789378912,292.5084897732051,241.27163824792652,4.383546168365251,1.73086524753034,289.09763798558083,295.3900113083809,230.11791385897166,0.0
757,328.60330139903556,366.2309489823382,187.8083568672973,342.38079354643986,292.798759155098,241.79980573661885,4.393854171498821,1.7524290071174644,289.2737406262443,295.7278649105907,230.6493007947884,0.0
758,328.62556169092574,366.7684731008657,188.60155782695858,342.5798133669028,293.12730586717265,242.2811832383263,4.406322611279905,1.7717687831441729,289.4419886176786,296.07855063861956,231.1674615463461,0.0
759,328.6141303170004,367.3174216715065,189.36817048954998,342.77311782561054,293.4930640476114,242.75857103034033,4.420132559029386,1.7883570419019545,289.5915962958857,296.42999792550324,231.67818984576664,0.0
760,328.6052026709739,367.8943169201356,190.06420934408084,342.94597776254204,293.86220032414826,243.20529025656802,4.4348155971524905,1.8017913798612966,289.71803328530166,296.77835442888926,232.16592955900725,0.0
761,328.5389133145679,368.4449880199484,190.7795824626014,343.11881780571576,294.21736566338257,243.6011901031381,4.44839496103991,1.811449512994175,289.8432807210832,297.15466194261427,232.64841000520826,0.0
762,328.446538552193,369.0053445907821,191.47737697173483,343.30239452586756,294.6068888477641,243.97779713395323,4.459790449182165,1.8186440965165616,289.9495313205001,297.5516614333396,233.1035909072696,0.0
