,nose_x,nose_y,nose_z,r_ear_x,r_ear_y,r_ear_z,theta_l,theta_r
1425,406.9801690202526,396.0013074552986,315.6177011612853,396.03724709891316,314.1714532732812,335.562386765272,4.551946481703105,1.7126611768697255
1426,407.5667795113622,395.98008472221005,315.2240205331086,396.3588511769344,314.2602892415727,335.0676518976509,4.538404535621003,1.7352778463916745
1427,408.10076485203405,396.02329536725665,314.8368911986566,396.69292869578766,314.33115485094413,334.56525520907775,4.522758789479846,1.758063250877199
1428,408.609580653247,396.0551736206016,314.47585089932977,397.05091211238005,314.402258222475,334.10384590858115,4.504972209282348,1.7804099311821047
1429,409.11234885025584,396.1262594724166,314.114383235191,397.424067323043,314.4876168587053,333.6234238588829,4.484935819762259,1.8019086632180983
1430,409.6106593882293,396.18108701244654,313.78402518268985,397.7971656676345,314.5712890225111,333.16325394897405,4.462083840601923,1.8225221002421974
1431,410.1179711384895,396.229451203714,313.46800074392587,398.0094690983638,314.65443728439254,332.78643343712895,4.437292799760862,1.8419915872323174
1432,410.6076609695863,396.29258073998983,313.1395211952388,398.2122440481836,314.7222251945888,332.40450690258785,4.410553068401765,1.8607837633084656
1433,411.07809563900423,396.32333926125006,312.7855679289298,398.4032588589212,314.8170731428547,332.02554404703193,4.383013038451241,1.8794019980413035
1434,411.51374907913777,396.3130898771348,312.42795758502893,398.62863679903074,314.9085294490882,331.66507285520237,4.355647578070122,1.897765251697721
1435,411.9913460474338,396.30162691197506,312.0060162903887,398.8542317092273,314.97370944813474,331.31346976189917,4.3296234086747765,1.9162667849210702
1436,412.4568839657941,396.33296213041814,311.55240876181927,399.0848485858536,315.0389588387789,330.94251612309097,4.303486199119121,1.9351124324839974
1437,412.9026250687106,396.3660542682666,311.09685541683535,399.2977529990987,315.11874180453947,330.53149025505786,4.27849927049283,1.9541334719308447
1438,413.3133089291217,396.36748126859374,310.65598399506104,399.524271412208,315.23070293993266,330.0832451678714,4.25454956997668,1.9726911945526997
1439,413.74246793699683,396.3622684585591,309.9516747519401,399.75200657554905,315.2808855858491,329.60397979499146,4.2314156287315905,1.990858739003036
1440,414.2078491565424,396.40006540334065,309.32751972512364,399.97169112670053,315.3355880145699,329.11811417092576,4.208841047959355,2.0063004803145397
1441,414.6792053486616,396.39843390678647,308.6842224094996,400.2164234957264,315.38265032013703,328.61626160629413,4.188171583006529,2.019144627871534
1442,415.1409624928922,396.41422957068886,308.0681269622079,400.5074110115433,315.40061557688813,328.127872897173,4.168860695221195,2.029139552007468
1443,415.6570786681399,396.37326341534555,307.44240051918746,400.81318057913825,315.4180154892999,327.64377474532785,4.149481281249255,2.0369769568371705
1444,416.15491621875515,396.3589992280201,306.83155588964473,401.1243626546035,315.39234412554123,327.1427223432532,4.130550721673167,2.043827752389253
1445,416.6615261986573,396.34255785815543,306.28567887134835,401.4476672389782,315.3772038694512,326.6674435026161,4.112763608942487,2.050009750674036
1446,417.1658298133843,396.3329729690343,305.751310860809,401.79295469841725,315.3893191476168,326.20982295108,4.096288934454602,2.0553821551138998
1447,417.65866314050515,396.292101510364,305.2248189770149,402.1586803845498,315.41197052517833,325.7532009580831,4.081848238380591,2.059468982505565
1448,418.147545240636,396.2523846265326,304.7217330846823,402.5387582740459,315.4055064497802,325.3359932449266,4.07131968442174,2.060784695847054
