scorer,DeepCut_resnet50_leftMar14shuffle1_1030000,DeepCut_resnet50_leftMar14shuffle1_1030000,DeepCut_resnet50_leftMar14shuffle1_1030000,DeepCut_resnet50_leftMar14shuffle1_1030000,DeepCut_resnet50_leftMar14shuffle1_1030000,DeepCut_resnet50_leftMar14shuffle1_1030000,DeepCut_resnet50_leftMar14shuffle1_1030000,DeepCut_resnet50_leftMar14shuffle1_1030000,DeepCut_resnet50_leftMar14shuffle1_1030000,DeepCut_resnet50_leftMar14shuffle1_1030000,DeepCut_resnet50_leftMar14shuffle1_1030000,DeepCut_resnet50_leftMar14shuffle1_1030000,DeepCut_resnet50_leftMar14shuffle1_1030000,DeepCut_resnet50_leftMar14shuffle1_1030000,DeepCut_resnet50_leftMar14shuffle1_1030000
bodyparts,nose,nose,nose,l_ear,l_ear,l_ear,r_ear,r_ear,r_ear,l_eye,l_eye,l_eye,r_eye,r_eye,r_eye
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
2033,303.8333930969238,141.20954537391663,0.9999998807907104,384.41562700271606,119.61670732498169,0.9997615218162537,347.9932532394305,113.27415418624878,0.9995312690734863,355.0664407610893,125.97522294521332,1.0,380.41121608018875,113.668527841568,0.009630273096263409
2034,304.03981041908264,141.5964059829712,0.9999998807907104,384.47384881973267,119.68548488616943,0.9997571110725403,347.7684351801872,113.48837780952454,0.999431312084198,355.273845911026,126.08007502555847,1.0,380.53607469797134,113.85154843330383,0.009194654412567616
2035,304.36352944374084,142.57231903076172,0.9999998807907104,384.3292284011841,119.43462753295898,0.9997953772544861,348.11771699786186,113.39108395576477,0.9995274543762207,355.09684014320374,126.78337574005127,1.0,380.4620117843151,113.96723556518555,0.009898156858980656
2036,304.07370615005493,142.93933296203613,0.9999997615814209,384.44923162460327,119.33881092071533,0.9998000264167786,348.30064755678177,113.89569211006165,0.9997312426567078,355.1406913995743,127.09333157539368,1.0,380.39058551192284,113.99520802497864,0.009754533879458904
2037,303.90268421173096,143.46288585662842,0.9999992847442627,384.5148482322693,119.66582298278809,0.9998338222503662,347.93150044977665,114.21699619293213,0.9998250603675842,355.0676102042198,127.37531805038452,1.0,380.33436930179596,114.50445532798767,0.009172612801194191
2038,303.97196769714355,143.82416486740112,0.9999994039535522,384.2170901298523,119.88560247421265,0.9998514652252197,347.4825673699379,114.72285163402557,0.9997808337211609,355.21196192502975,127.8681948184967,1.0,329.7788715362549,123.30594539642334,0.009695048443973064
2039,304.0918490886688,144.52140522003174,0.9999996423721313,384.0763158798218,120.18906879425049,0.99983811378479,347.09983962774277,115.03791356086731,0.999816358089447,355.05959445238113,128.28586101531982,1.0,379.7951099127531,115.007608294487,0.010240426287055016
2040,304.34442925453186,145.29092502593994,0.9999997615814209,383.92862582206726,120.64176845550537,0.9998844861984253,346.5181176662445,115.76431031525135,0.9994975328445435,355.0458096265793,129.0882124900818,1.0,379.44908833503723,115.47121304273605,0.010158360004425049
2041,304.07400727272034,146.23393607139587,0.9999998807907104,383.89660239219666,120.8979823589325,0.9999151229858398,346.248073220253,116.2600827217102,0.9994357228279114,355.17574566602707,129.1799783706665,1.0,327.2989284992218,125.33866310119629,0.015268374234437943
2042,304.08614206314087,147.58841779828072,0.9999998807907104,384.09774017333984,121.34286046028137,0.9998987913131714,345.8461356163025,116.6826907992363,0.9993902444839478,355.3346258401871,129.56344079971313,1.0,326.8751804828644,126.47206544876099,0.04061993584036827
